customer_id,total_spend,total_units,regions_seen,customer_ltv
C066,1524.39,2,1,633.54
C184,4112.15,20,3,2439.25
C238,4727.03,9,2,2104.46
C198,2590.78,10,3,1406.77
C145,6204.1,14,4,2871.43
C018,5554.68,6,3,2244.14
C211,3657.41,9,2,1730.09
C213,4160.89,9,3,1906.31
C134,7716.75,15,3,3450.86
C212,3503.53,8,2,1626.24
C023,10098.6,10,3,4034.51
C172,2010.64,10,2,1203.72
C047,3300.68,10,2,1655.24
C226,3989.64,8,3,1796.37
C243,8349.37,10,3,3422.28
C195,6851.05,14,3,3097.87
C005,1624.61,7,2,918.61
C079,3755.31,4,1,1514.36
C109,2003.52,10,2,1201.23
C065,3140.46,11,2,1649.16
C191,5155.9,10,2,2304.56
C124,4799.1,10,3,2179.68
C026,839.36,5,1,543.78
C004,7529.66,14,2,3335.38
C142,2892.5,7,2,1362.38
C048,4545.06,12,2,2190.77
C103,5399.06,6,2,2189.67
C208,7556.94,16,4,3444.93
C196,11794.93,17,4,4978.23
C110,1790.54,4,1,826.69
C190,10104.18,19,3,4486.46
C021,9932.55,16,3,4276.39
C001,8265.56,13,2,3542.95
C009,3558.73,7,3,1595.56
C117,8006.72,9,2,3252.35
C161,2575.47,4,2,1101.41
C058,1485.91,4,1,720.07
C203,10528.59,14,4,4385.01
C113,5505.45,15,3,2676.91
C242,967.44,3,1,488.6
C154,706.61,4,1,447.31
C007,3013.45,8,1,1454.71
C006,2616.95,5,1,1165.93
C167,4854.71,8,3,2099.15
C209,3842.35,8,2,1744.82
C083,6803.94,14,3,3081.38
C074,4357.74,14,3,2225.21
C049,8133.08,20,2,3846.58
C162,2520.56,9,3,1332.2
C234,3147.01,6,3,1401.45
C071,1458.23,8,3,910.38
C073,2878.16,13,2,1657.36
C115,2009.37,4,1,903.28
C140,5578.23,16,3,2752.38
C062,4718.63,3,1,1801.52
C152,1665.19,7,2,932.82
C249,894.19,4,1,512.97
C178,8710.15,12,3,3648.55
C220,5502.96,4,2,2126.04
C010,2459.81,4,1,1060.93
C192,4880.79,4,2,1908.28
C076,2819.4,10,2,1486.79
C106,5089.14,7,2,2131.2
C157,5509.16,13,3,2578.21
C150,8141.39,12,3,3449.49
C171,6113.03,8,2,2539.56
C114,3468.42,10,2,1713.95
C098,10868.4,18,4,4703.94
C222,4006.65,11,2,1952.33
C232,5694.5,6,2,2293.07
C188,4454.32,2,2,1659.01
C045,8129.92,15,4,3595.47
C248,2429.81,3,2,1000.43
C206,8701.15,18,2,3945.4
C138,3505.96,5,2,1477.09
C159,4120.18,9,3,1892.06
C163,2895.1,6,2,1313.28
C012,2473.47,5,2,1115.71
C228,8481.27,10,3,3468.44
C244,2111.25,7,3,1088.94
C168,5176.97,3,2,1961.94
C072,3757.11,10,3,1814.99
C166,6641.56,10,3,2824.55
C032,947.45,3,1,481.61
C153,4619.37,6,1,1916.78
C202,3616.26,3,2,1415.69
C056,4008.02,6,1,1702.81
C205,4457.83,4,2,1760.24
C092,5016.37,5,2,2005.73
C014,4133.12,5,1,1696.59
C017,2320.84,8,2,1212.29
C028,4230.71,9,2,1930.75
C201,7892.67,16,4,3562.43
C123,3203.22,1,1,1171.13
C233,4361.62,9,2,1976.57
C084,6798.06,9,2,2829.32
C155,3320.17,11,2,1712.06
C059,5120.25,9,3,2242.09
C025,6689.58,14,3,3041.35
C040,6038.76,9,2,2563.57
C144,313.98,1,1,159.89
