customer_id,customer_name,region,customer_segment,signup_date,total_spend,total_units,regions_seen,customer_ltv
C001,Customer 1,Lahore,Budget,2024-10-16,8265.56,13,2,3542.95
C002,Customer 2,Islamabad,Budget,2025-01-29,0.0,0,0,0.0
C003,Customer 3,Karachi,Premium,2023-08-17,0.0,0,0,0.0
C004,Customer 4,Faisalabad,Budget,2023-04-15,7529.66,14,2,3335.38
C005,Customer 5,Peshawar,Budget,2024-08-27,1624.61,7,2,918.61
C006,Customer 6,Lahore,Budget,2023-01-31,2616.95,5,1,1165.93
C007,Customer 7,Faisalabad,Premium,2023-08-27,3013.45,8,1,1454.71
C008,Customer 8,Faisalabad,Budget,2023-01-28,2463.63,5,1,1112.27
C009,Customer 9,Faisalabad,Standard,2025-01-03,3558.73,7,3,1595.56
C010,Customer 10,Peshawar,Premium,2023-08-14,2459.81,4,1,1060.93
C011,Customer 11,Lahore,Budget,2023-10-12,3646.47,14,3,1976.26
C012,Customer 12,Peshawar,Standard,2024-12-15,2473.47,5,2,1115.71
C013,Customer 13,Karachi,Budget,2023-10-12,2558.85,9,2,1345.6
C014,Customer 14,Islamabad,Budget,2025-02-20,4133.12,5,1,1696.59
C015,Customer 15,Peshawar,Budget,2023-04-05,2665.58,8,2,1332.95
C016,Customer 16,Islamabad,Premium,2024-01-03,4593.5,5,2,1857.72
C017,Customer 17,Lahore,Premium,2023-09-28,2320.84,8,2,1212.29
C018,Customer 18,Faisalabad,Budget,2024-04-15,5554.68,6,3,2244.14
C019,Customer 19,Lahore,Premium,2024-01-23,1912.0,7,2,1019.2
C020,Customer 20,Faisalabad,Standard,2023-10-28,3744.04,12,3,1910.41
C021,Customer 21,Karachi,Premium,2024-08-14,9932.55,16,3,4276.39
C022,Customer 22,Lahore,Premium,2023-03-13,1762.55,9,2,1066.89
C023,Customer 23,Islamabad,Budget,2023-08-22,10098.6,10,3,4034.51
C024,Customer 24,Lahore,Standard,2023-08-27,8250.17,14,4,3587.56
C025,Customer 25,Peshawar,Premium,2023-10-12,6689.58,14,3,3041.35
C026,Customer 26,Karachi,Standard,2024-01-09,839.36,5,1,543.78
C027,Customer 27,Karachi,Premium,2023-12-30,2041.32,7,2,1064.46
C028,Customer 28,Lahore,Premium,2023-10-01,4230.71,9,2,1930.75
C029,Customer 29,Karachi,Premium,2024-10-12,1386.1,8,1,885.13
C030,Customer 30,Karachi,Budget,2025-01-16,1415.94,4,2,695.58
C031,Customer 31,Peshawar,Standard,2024-04-18,0.0,0,0,0.0
C032,Customer 32,Faisalabad,Budget,2024-10-17,947.45,3,1,481.61
C033,Customer 33,Islamabad,Budget,2024-12-02,1497.4,5,1,774.09
C034,Customer 34,Lahore,Standard,2023-08-23,1244.19,3,1,585.47
C035,Customer 35,Islamabad,Budget,2024-02-15,6906.99,9,3,2867.45
C036,Customer 36,Faisalabad,Premium,2023-08-05,5043.24,14,3,2465.13
C037,Customer 37,Karachi,Premium,2023-11-19,2514.91,1,1,930.22
C038,Customer 38,Peshawar,Premium,2024-05-26,1488.78,6,2,821.07
C039,Customer 39,Karachi,Standard,2024-04-14,8006.45,14,3,3502.26
C040,Customer 40,Karachi,Premium,2023-05-23,6038.76,9,2,2563.57
C041,Customer 41,Faisalabad,Standard,2024-07-28,3752.54,1,1,1363.39
C042,Customer 42,Faisalabad,Standard,2025-02-03,3823.32,7,2,1688.16
C043,Customer 43,Peshawar,Standard,2024-08-20,1129.52,9,2,845.33
C044,Customer 44,Karachi,Premium,2023-08-13,2716.98,3,2,1100.94
C045,Customer 45,Lahore,Budget,2024-05-20,8129.92,15,4,3595.47
C046,Customer 46,Karachi,Premium,2023-04-23,0.0,0,0,0.0
C047,Customer 47,Peshawar,Premium,2023-06-13,3300.68,10,2,1655.24
C048,Customer 48,Peshawar,Standard,2023-03-07,4545.06,12,2,2190.77
C049,Customer 49,Peshawar,Premium,2024-09-02,8133.08,20,2,3846.58
C050,Customer 50,Faisalabad,Budget,2023-09-15,2954.82,6,2,1334.19
C051,Customer 51,Lahore,Premium,2024-11-27,0.0,0,0,0.0
C052,Customer 52,Islamabad,Premium,2024-07-03,4405.44,13,3,2191.9
C053,Customer 53,Lahore,Standard,2023-12-15,4581.84,6,2,1903.64
C054,Customer 54,Karachi,Standard,2024-03-21,2475.14,8,2,1266.3
C055,Customer 55,Islamabad,Premium,2023-01-04,2592.16,6,2,1207.26
C056,Customer 56,Karachi,Premium,2025-02-19,4008.02,6,1,1702.81
C057,Customer 57,Islamabad,Premium,2023-04-19,1751.67,4,2,813.08
C058,Customer 58,Faisalabad,Budget,2024-06-03,1485.91,4,1,720.07
C059,Customer 59,Islamabad,Budget,2023-06-06,5120.25,9,3,2242.09
C060,Customer 60,Faisalabad,Budget,2024-07-06,2478.18,6,2,1167.36
C061,Customer 61,Islamabad,Standard,2024-09-05,5709.33,9,1,2448.27
C062,Customer 62,Lahore,Standard,2023-01-20,4718.63,3,1,1801.52
C063,Customer 63,Karachi,Budget,2023-11-11,0.0,0,0,0.0
C064,Customer 64,Faisalabad,Budget,2023-09-04,7241.46,10,3,3034.51
C065,Customer 65,Peshawar,Budget,2023-03-29,3140.46,11,2,1649.16
C066,Customer 66,Faisalabad,Budget,2025-02-17,1524.39,2,1,633.54
C067,Customer 67,Peshawar,Premium,2023-05-12,2771.32,2,1,1069.96
C068,Customer 68,Islamabad,Premium,2023-06-19,2458.03,4,2,1060.31
C069,Customer 69,Peshawar,Budget,2024-09-13,1049.48,3,1,517.32
C070,Customer 70,Karachi,Premium,2024-07-06,1960.09,8,1,1086.03
C071,Customer 71,Peshawar,Premium,2023-11-16,1458.23,8,3,910.38
C072,Customer 72,Islamabad,Standard,2024-10-27,3757.11,10,3,1814.99
C073,Customer 73,Peshawar,Budget,2024-06-13,2878.16,13,2,1657.36
C074,Customer 74,Karachi,Budget,2023-09-11,4357.74,14,3,2225.21
C075,Customer 75,Lahore,Premium,2023-12-13,1660.0,1,1,631.0
C076,Customer 76,Karachi,Premium,2024-07-21,2819.4,10,2,1486.79
C077,Customer 77,Lahore,Budget,2023-08-14,2237.27,8,2,1183.04
C078,Customer 78,Lahore,Budget,2024-12-25,7673.18,12,3,3285.61
C079,Customer 79,Lahore,Standard,2023-03-11,3755.31,4,1,1514.36
