sale_id,product_id,customer_id,sale_date,quantity_sold,selling_price,region,base_price,cost_price,price_difference,inventory_turnover,recommended_price,discount_flag
S0001,P002,C066,2025-07-31,2,1524.39,Islamabad,1500.0,950.0,24.39,0.03,1560.0,0
S0002,P003,C184,2025-09-12,5,342.28,Lahore,300.0,120.0,42.28,0.06,330.0,0
S0003,P003,C238,2024-11-14,1,313.4,Islamabad,300.0,120.0,13.4,0.01,306.0,0
S0004,P010,C184,2025-11-24,4,1798.49,Karachi,1800.0,1100.0,-1.51,0.05,1944.0,1
S0005,P002,C198,2025-08-29,2,1388.21,Islamabad,1500.0,950.0,-111.79,0.03,1560.0,1
S0006,P011,C145,2025-09-06,1,1758.49,Lahore,1600.0,1000.0,158.49,0.01,1632.0,0
S0007,P006,C018,2025-06-29,4,1278.46,Faisalabad,1200.0,750.0,78.46,0.05,1296.0,0
S0008,P011,C211,2024-12-15,1,1779.83,Peshawar,1600.0,1000.0,179.83,0.01,1632.0,0
S0009,P002,C213,2025-03-19,3,1588.34,Peshawar,1500.0,950.0,88.34,0.04,1590.0,0
S0010,P012,C134,2024-06-05,4,755.23,Islamabad,800.0,500.0,-44.77,0.05,864.0,1
S0011,P010,C212,2025-07-05,4,1829.19,Faisalabad,1800.0,1100.0,29.19,0.05,1944.0,0
S0012,P005,C023,2024-11-26,2,3876.89,Islamabad,3500.0,2200.0,376.89,0.03,3640.0,0
S0013,P008,C172,2024-09-06,4,938.22,Peshawar,900.0,600.0,38.22,0.05,972.0,0
S0014,P006,C047,2024-01-30,4,1335.29,Peshawar,1200.0,750.0,135.29,0.05,1296.0,0
S0015,P004,C226,2024-12-29,3,2462.71,Faisalabad,2500.0,1500.0,-37.29,0.04,2650.0,1
S0016,P012,C243,2024-10-09,5,722.03,Karachi,800.0,500.0,-77.97,0.06,880.0,1
S0017,P002,C195,2024-09-04,4,1533.22,Karachi,1500.0,950.0,33.22,0.05,1620.0,0
S0018,P012,C005,2025-05-02,4,809.63,Lahore,800.0,500.0,9.63,0.05,864.0,0
S0019,P005,C079,2024-08-14,4,3755.31,Faisalabad,3500.0,2200.0,255.31,0.05,3780.0,0
