product_id,competitor_name,competitor_price,recorded_date,region
P002,Competitor_C,1539.19,2025-07-31,Islamabad
P003,Competitor_C,318.08,2025-09-12,Lahore
P003,Competitor_B,321.19,2024-11-14,Islamabad
P010,Competitor_A,1777.82,2025-11-24,Karachi
P002,Competitor_C,1483.76,2025-08-29,Islamabad
P011,Competitor_A,1578.56,2025-09-06,Lahore
P006,Competitor_B,1199.5,2025-06-29,Faisalabad
P011,Competitor_C,1526.41,2024-12-15,Peshawar
P002,Competitor_A,1529.03,2025-03-19,Peshawar
P012,Competitor_A,837.66,2024-06-05,Islamabad
P010,Competitor_C,1779.02,2025-07-05,Faisalabad
P005,Competitor_C,3390.55,2024-11-26,Islamabad
P008,Competitor_C,958.78,2024-09-06,Peshawar
P006,Competitor_C,1241.08,2024-01-30,Peshawar
P004,Competitor_A,2554.9,2024-12-29,Faisalabad
P012,Competitor_C,774.7,2024-10-09,Karachi
P002,Competitor_A,1425.98,2024-09-04,Karachi
P012,Competitor_C,800.98,2025-05-02,Lahore
P005,Competitor_C,3755.88,2024-08-14,Faisalabad
P006,Competitor_B,1172.77,2025-04-29,Faisalabad
P006,Competitor_C,1280.95,2024-12-26,Karachi
P002,Competitor_B,1466.29,2026-01-08,Faisalabad
P012,Competitor_C,848.55,2024-07-08,Islamabad
P012,Competitor_A,776.74,2025-08-26,Karachi
P005,Competitor_A,3605.68,2024-08-20,Faisalabad
P003,Competitor_B,292.58,2024-10-07,Islamabad
P012,Competitor_A,829.78,2024-05-09,Faisalabad
P005,Competitor_C,3712.77,2025-04-25,Lahore
P005,Competitor_C,3534.88,2025-05-04,Peshawar
P002,Competitor_C,1439.26,2025-08-13,Faisalabad
P005,Competitor_C,3355.65,2024-03-28,Peshawar
P010,Competitor_A,1756.2,2025-09-02,Peshawar
P008,Competitor_C,912.0,2025-03-29,Islamabad
P010,Competitor_B,1793.57,2025-09-27,Lahore
P004,Competitor_C,2588.03,2025-10-02,Karachi
P004,Competitor_A,2467.67,2024-06-26,Peshawar
P008,Competitor_A,960.31,2025-12-06,Karachi
P005,Competitor_B,3546.07,2025-12-24,Lahore
P011,Competitor_B,1648.2,2024-08-27,Faisalabad
P011,Competitor_B,1664.24,2024-07-21,Karachi
P005,Competitor_A,3582.33,2024-05-25,Islamabad
P010,Competitor_B,1899.0,2026-02-05,Lahore
P008,Competitor_B,874.73,2025-12-06,Islamabad
P009,Competitor_B,687.4,2025-07-06,Lahore
P007,Competitor_A,2293.69,2026-01-22,Lahore
P004,Competitor_C,2516.74,2025-11-21,Islamabad
P010,Competitor_B,1741.43,2024-02-11,Peshawar
P005,Competitor_C,3475.86,2024-07-04,Peshawar
P002,Competitor_B,1515.26,2025-04-26,Lahore
P003,Competitor_B,315.22,2024-12-03,Peshawar
P009,Competitor_B,715.2,2024-02-07,Islamabad
P002,Competitor_A,1550.88,2026-03-02,Lahore
P011,Competitor_A,1695.09,2025-07-09,Faisalabad
P006,Competitor_A,1279.04,2025-09-29,Lahore
P004,Competitor_A,2460.55,2024-09-30,Peshawar
P012,Competitor_C,767.95,2025-05-11,Faisalabad
P004,Competitor_A,2664.93,2025-12-27,Faisalabad
P007,Competitor_C,2270.65,2024-04-05,Lahore
P008,Competitor_C,922.73,2024-04-30,Islamabad
P009,Competitor_C,684.36,2025-12-23,Peshawar
P004,Competitor_A,2554.27,2025-04-12,Faisalabad
P009,Competitor_C,746.35,2026-02-03,Peshawar
P006,Competitor_C,1213.65,2025-06-03,Islamabad
P010,Competitor_A,1795.6,2025-08-16,Faisalabad
P008,Competitor_A,959.3,2024-12-19,Peshawar
P008,Competitor_C,940.79,2024-11-25,Faisalabad
P007,Competitor_B,2128.29,2024-08-27,Peshawar
P012,Competitor_C,813.08,2025-01-25,Karachi
P008,Competitor_B,897.57,2024-02-07,Islamabad
P002,Competitor_A,1554.22,2025-03-26,Lahore
P012,Competitor_C,831.15,2024-05-27,Karachi
P002,Competitor_C,1452.37,2025-04-25,Peshawar
P011,Competitor_A,1557.26,2024-03-23,Faisalabad
P007,Competitor_C,2278.59,2024-11-20,Faisalabad
P002,Competitor_A,1568.5,2024-08-28,Lahore
P007,Competitor_B,2358.6,2024-04-10,Islamabad
P001,Competitor_A,978.45,2024-02-17,Islamabad
P006,Competitor_B,1176.15,2025-03-17,Faisalabad
P011,Competitor_B,1596.84,2024-07-03,Peshawar
P010,Competitor_A,1866.45,2025-11-30,Karachi
P004,Competitor_C,2670.01,2025-04-17,Lahore
P008,Competitor_B,900.41,2024-10-21,Islamabad
P010,Competitor_B,1916.28,2024-11-02,Islamabad
P004,Competitor_A,2693.69,2025-01-28,Faisalabad
P006,Competitor_B,1156.1,2025-08-11,Lahore
P011,Competitor_C,1651.78,2025-02-09,Lahore
P010,Competitor_B,1905.36,2026-02-02,Islamabad
P004,Competitor_B,2563.06,2025-09-13,Faisalabad
P005,Competitor_C,3404.1,2025-11-25,Lahore
P005,Competitor_C,3497.23,2025-03-27,Karachi
P002,Competitor_C,1552.4,2024-10-29,Karachi
P003,Competitor_A,305.15,2025-07-06,Islamabad
P003,Competitor_B,322.93,2024-09-20,Islamabad
P002,Competitor_A,1525.69,2025-04-24,Karachi
P011,Competitor_B,1689.99,2026-01-11,Faisalabad
P006,Competitor_B,1215.95,2024-04-02,Lahore
P008,Competitor_B,958.8,2025-01-12,Islamabad
P002,Competitor_A,1522.86,2025-11-22,Faisalabad
P006,Competitor_A,1208.62,2025-09-16,Peshawar
P012,Competitor_A,768.02,2024-11-05,Lahore
P005,Competitor_C,3452.77,2025-05-19,Faisalabad
P003,Competitor_A,292.29,2025-02-01,Faisalabad
P007,Competitor_B,2262.18,2025-08-24,Lahore
P008,Competitor_A,932.35,2025-09-22,Lahore
P012,Competitor_B,844.36,2025-01-14,Karachi
P006,Competitor_C,1157.68,2024-04-11,Islamabad
P001,Competitor_C,1012.25,2025-02-11,Peshawar
P002,Competitor_A,1540.2,2025-11-09,Lahore
P001,Competitor_C,1058.34,2024-12-07,Faisalabad
P004,Competitor_A,2454.19,2024-03-11,Karachi
P006,Competitor_A,1229.46,2026-03-03,Lahore
P005,Competitor_A,3386.3,2024-05-28,Karachi
P002,Competitor_C,1432.64,2025-11-07,Karachi
P010,Competitor_C,1744.37,2024-11-27,Karachi
P012,Competitor_A,786.86,2025-03-07,Peshawar
P008,Competitor_A,915.45,2026-03-07,Peshawar
P009,Competitor_B,719.54,2024-08-14,Faisalabad
P005,Competitor_C,3615.12,2025-04-14,Peshawar
P007,Competitor_C,2298.2,2025-12-03,Peshawar
P002,Competitor_B,1609.71,2024-03-23,Karachi
P005,Competitor_A,3529.39,2025-10-01,Peshawar
P010,Competitor_B,1912.95,2025-06-27,Peshawar
P002,Competitor_A,1467.78,2025-12-19,Faisalabad
P012,Competitor_B,822.49,2024-08-08,Peshawar
