customer_id,customer_name,region,customer_segment,signup_date
C001,Customer 1,Lahore,Budget,2024-10-16
C002,Customer 2,Islamabad,Budget,2025-01-29
C003,Customer 3,Karachi,Premium,2023-08-17
C004,Customer 4,Faisalabad,Budget,2023-04-15
C005,Customer 5,Peshawar,Budget,2024-08-27
C006,Customer 6,Lahore,Budget,2023-01-31
C007,Customer 7,Faisalabad,Premium,2023-08-27
C008,Customer 8,Faisalabad,Budget,2023-01-28
C009,Customer 9,Faisalabad,Standard,2025-01-03
C010,Customer 10,Peshawar,Premium,2023-08-14
C011,Customer 11,Lahore,Budget,2023-10-12
C012,Customer 12,Peshawar,Standard,2024-12-15
C013,Customer 13,Karachi,Budget,2023-10-12
C014,Customer 14,Islamabad,Budget,2025-02-20
C015,Customer 15,Peshawar,Budget,2023-04-05
C016,Customer 16,Islamabad,Premium,2024-01-03
C017,Customer 17,Lahore,Premium,2023-09-28
C018,Customer 18,Faisalabad,Budget,2024-04-15
C019,Customer 19,Lahore,Premium,2024-01-23
C020,Customer 20,Faisalabad,Standard,2023-10-28
C021,Customer 21,Karachi,Premium,2024-08-14
C022,Customer 22,Lahore,Premium,2023-03-13
C023,Customer 23,Islamabad,Budget,2023-08-22
C024,Customer 24,Lahore,Standard,2023-08-27
C025,Customer 25,Peshawar,Premium,2023-10-12
C026,Customer 26,Karachi,Standard,2024-01-09
C027,Customer 27,Karachi,Premium,2023-12-30
C028,Customer 28,Lahore,Premium,2023-10-01
C029,Customer 29,Karachi,Premium,2024-10-12
C030,Customer 30,Karachi,Budget,2025-01-16
C031,Customer 31,Peshawar,Standard,2024-04-18
C032,Customer 32,Faisalabad,Budget,2024-10-17
C033,Customer 33,Islamabad,Budget,2024-12-02
C034,Customer 34,Lahore,Standard,2023-08-23
C035,Customer 35,Islamabad,Budget,2024-02-15
C036,Customer 36,Faisalabad,Premium,2023-08-05
C037,Customer 37,Karachi,Premium,2023-11-19
C038,Customer 38,Peshawar,Premium,2024-05-26
C039,Customer 39,Karachi,Standard,2024-04-14
C040,Customer 40,Karachi,Premium,2023-05-23
C041,Customer 41,Faisalabad,Standard,2024-07-28
C042,Customer 42,Faisalabad,Standard,2025-02-03
C043,Customer 43,Peshawar,Standard,2024-08-20
C044,Customer 44,Karachi,Premium,2023-08-13
C045,Customer 45,Lahore,Budget,2024-05-20
C046,Customer 46,Karachi,Premium,2023-04-23
