product_id,inventory_date,average_inventory
P002,2025-07-31,93.32
P003,2025-09-12,115.41
P003,2024-11-14,87.87
P010,2025-11-24,67.05
P002,2025-08-29,36.93
P011,2025-09-06,92.09
P006,2025-06-29,75.5
P011,2024-12-15,64.64
P002,2025-03-19,90.57
P012,2024-06-05,58.76
P010,2025-07-05,73.22
P005,2024-11-26,72.27
P008,2024-09-06,98.95
P006,2024-01-30,83.68
P004,2024-12-29,69.61
P012,2024-10-09,73.03
P002,2024-09-04,98.26
P012,2025-05-02,60.67
P005,2024-08-14,72.99
P006,2025-04-29,89.68
P006,2024-12-26,106.21
P002,2026-01-08,59.54
P012,2024-07-08,73.86
P012,2025-08-26,64.81
P005,2024-08-20,70.98
P003,2024-10-07,87.8
P012,2024-05-09,33.48
P005,2025-04-25,57.3
P005,2025-05-04,98.0
P002,2025-08-13,57.42
P005,2024-03-28,73.05
P010,2025-09-02,65.77
P008,2025-03-29,76.61
P010,2025-09-27,82.17
P004,2025-10-02,86.47
P004,2024-06-26,46.45
P008,2025-12-06,123.98
P005,2025-12-24,82.46
P011,2024-08-27,63.7
P011,2024-07-21,58.33
P005,2024-05-25,95.23
P010,2026-02-05,80.81
P008,2025-12-06,85.79
P009,2025-07-06,63.94
P007,2026-01-22,108.08
P004,2025-11-21,74.1
P010,2024-02-11,62.75
P005,2024-07-04,88.95
P002,2025-04-26,71.14
P003,2024-12-03,92.4
P009,2024-02-07,50.58
P002,2026-03-02,86.25
P011,2025-07-09,89.06
P006,2025-09-29,62.03
P004,2024-09-30,99.16
P012,2025-05-11,94.35
P004,2025-12-27,59.85
P007,2024-04-05,47.19
P008,2024-04-30,59.68
P009,2025-12-23,100.52
P004,2025-04-12,66.96
P009,2026-02-03,69.34
P006,2025-06-03,85.65
P010,2025-08-16,84.56
P008,2024-12-19,108.54
P008,2024-11-25,77.91
P007,2024-08-27,90.03
P012,2025-01-25,68.1
P008,2024-02-07,69.78
P002,2025-03-26,39.03
P012,2024-05-27,76.56
P002,2025-04-25,90.87
P011,2024-03-23,84.16
P007,2024-11-20,37.31
P002,2024-08-28,92.29
P007,2024-04-10,46.15
P001,2024-02-17,56.22
P006,2025-03-17,62.71
P011,2024-07-03,66.53
P010,2025-11-30,51.01
P004,2025-04-17,41.27
P008,2024-10-21,22.7
P010,2024-11-02,78.77
P004,2025-01-28,100.79
P006,2025-08-11,75.9
P011,2025-02-09,83.46
P010,2026-02-02,73.21
P004,2025-09-13,54.84
P005,2025-11-25,91.87
P005,2025-03-27,109.94
P002,2024-10-29,84.27
P003,2025-07-06,104.37
P003,2024-09-20,89.47
P002,2025-04-24,37.5
P011,2026-01-11,68.78
P006,2024-04-02,59.01
P008,2025-01-12,101.63
P002,2025-11-22,48.35
P006,2025-09-16,89.02
P012,2024-11-05,71.14
P005,2025-05-19,88.56
P003,2025-02-01,86.02
P007,2025-08-24,78.02
P008,2025-09-22,116.3
P012,2025-01-14,81.03
P006,2024-04-11,67.32
P001,2025-02-11,72.27
P002,2025-11-09,63.65
P001,2024-12-07,95.87
P004,2024-03-11,89.97
P006,2026-03-03,79.38
P005,2024-05-28,62.88
P002,2025-11-07,84.25
P010,2024-11-27,62.57
P012,2025-03-07,78.89
P008,2026-03-07,96.65
P009,2024-08-14,93.4
P005,2025-04-14,61.85
P007,2025-12-03,97.68
P002,2024-03-23,60.3
P005,2025-10-01,87.22
P010,2025-06-27,77.36
P002,2025-12-19,98.1
P012,2024-08-08,64.91
P006,2025-04-09,93.2
P007,2024-11-16,65.5
P002,2024-04-03,78.01
P003,2025-07-23,86.36
P006,2025-11-17,86.62
P012,2024-02-22,71.38
P010,2025-06-03,86.3
P002,2024-12-24,99.53
P010,2024-08-19,40.52
P010,2025-11-22,61.6
P001,2024-07-03,63.17
P006,2024-01-07,84.6
P002,2024-05-25,72.56
P007,2025-03-05,46.06
P012,2024-11-28,51.84
P003,2024-06-10,82.2
P008,2025-11-08,92.59
P005,2024-08-08,105.43
P005,2025-11-25,95.98
P001,2024-08-13,80.47
P004,2024-11-04,80.85
P005,2024-12-01,67.88
P003,2024-05-12,82.11
P009,2025-11-15,56.9
P007,2024-01-20,80.73
P010,2025-03-15,71.44
P005,2024-04-27,58.68
P010,2025-04-16,61.33
P004,2025-03-22,37.4
P005,2026-02-02,109.58
P002,2025-06-06,75.88
P006,2026-01-14,83.71
P004,2024-06-26,86.04
P003,2026-03-02,98.36
P008,2025-11-28,97.57
P011,2024-11-19,81.56
P011,2024-11-06,86.5
P002,2024-11-13,68.73
P005,2024-03-19,67.53
P008,2025-08-17,54.85
P008,2025-08-08,80.23
P003,2024-03-04,110.76
P012,2024-03-27,74.13
P012,2025-03-24,88.72
P006,2025-01-16,60.16
P011,2025-09-04,97.81
P002,2024-12-03,98.56
P005,2026-01-11,112.32
P010,2025-11-10,75.05
P003,2025-09-01,95.83
P003,2025-11-17,76.26
P009,2025-01-05,53.32
P006,2026-02-23,58.06
P002,2024-10-29,115.63
P001,2025-11-08,98.32
P010,2025-01-20,79.48
P003,2026-01-08,95.36
P008,2025-09-17,69.04
P004,2025-06-30,98.35
P004,2025-01-11,125.05
P007,2025-05-29,97.7
P010,2024-05-21,70.01
P009,2024-04-15,84.36
P003,2024-10-06,111.94
P002,2024-08-15,102.1
P007,2024-02-24,103.9
P002,2025-01-18,69.71
P012,2025-10-27,73.5
P005,2025-04-28,60.6
P010,2024-01-06,101.56
P009,2026-01-14,119.79
P004,2024-11-04,89.52
P008,2024-03-05,79.1
P009,2024-01-17,104.72
P005,2025-03-15,141.73
P007,2024-07-10,99.45
P009,2025-07-11,64.7
P001,2025-02-03,55.22
P005,2026-02-04,110.36
P004,2026-01-20,83.79
P003,2024-02-15,63.05
P011,2025-04-20,89.77
P002,2026-01-03,58.31
P004,2024-02-12,73.36
P009,2025-04-29,97.63
P005,2024-12-31,105.29
P002,2025-01-11,68.43
P007,2024-12-13,67.64
P009,2024-09-30,64.47
P010,2024-07-03,54.95
P006,2025-11-07,76.58
P003,2025-12-07,107.07
P010,2025-03-21,104.54
P002,2025-11-18,108.61
P001,2024-05-26,105.18
P003,2024-03-09,99.51
P007,2025-08-03,87.27
P006,2025-01-15,86.63
P009,2025-01-10,90.45
P002,2024-01-27,88.24
P002,2024-09-25,84.85
P005,2025-12-11,94.85
P008,2024-06-25,66.72
P011,2024-12-21,78.05
P003,2025-12-29,75.17
P002,2024-07-24,63.98
P006,2025-07-21,102.71
P003,2025-09-18,85.74
P009,2025-02-24,92.22
P006,2025-10-19,124.88
P006,2024-05-11,79.28
P007,2025-05-29,81.3
P005,2024-06-17,59.4
P006,2025-06-15,41.6
P011,2025-07-18,95.18
P009,2024-04-05,54.42
P003,2024-06-24,85.15
P010,2024-02-12,87.0
P005,2025-10-28,48.01
P011,2024-02-01,77.64
P011,2024-11-05,92.37
P005,2025-04-09,89.14
P007,2025-05-10,87.07
P006,2026-01-05,139.45
P007,2024-05-13,73.63
P004,2025-04-22,101.42
P002,2024-02-21,90.04
P007,2024-09-11,87.27
P012,2024-11-16,96.07
P008,2025-05-25,84.07
P009,2025-04-13,85.52
P001,2024-10-15,63.58
P005,2025-07-03,79.36
P005,2026-01-14,71.09
P007,2024-02-22,80.32
P005,2024-03-16,73.88
P005,2025-09-30,97.65
P007,2025-01-17,56.34
P004,2025-09-08,89.01
P001,2024-05-20,96.52
P003,2025-09-12,54.22
P006,2024-06-15,90.64
P010,2024-12-10,86.38
P012,2025-07-30,73.89
P006,2025-11-20,85.05
P012,2025-12-05,68.33
P010,2024-08-21,38.42
P011,2026-01-08,109.9
P011,2024-09-05,77.3
P004,2024-01-20,99.56
P012,2024-07-27,101.21
P012,2026-01-14,51.06
P009,2024-11-28,58.8
P008,2025-06-29,51.26
P010,2025-05-10,103.4
P005,2024-08-18,100.13
P012,2025-12-22,124.59
P012,2024-10-07,97.22
P007,2025-02-08,91.18
P005,2024-02-13,97.47
P008,2025-11-02,49.69
P009,2024-10-04,60.56
P010,2026-01-28,74.5
P004,2025-10-15,68.61
P012,2025-04-28,66.28
P009,2024-06-10,92.92
P008,2025-10-28,109.88
P005,2025-10-23,85.47
P004,2025-07-01,108.45
P003,2024-02-07,34.25
P001,2024-01-10,110.67
P005,2025-04-10,112.93
P009,2025-04-24,95.62
P003,2026-01-18,93.41
P001,2026-01-24,94.93
P003,2025-09-17,84.44
P002,2025-02-14,67.73
P006,2024-09-11,108.72
P005,2024-12-03,65.05
