sale_id,product_id,customer_id,sale_date,quantity_sold,selling_price,region
S0001,P002,C066,2025-07-31,2,1524.39,Islamabad
S0002,P003,C184,2025-09-12,5,342.28,Lahore
S0003,P003,C238,2024-11-14,1,313.4,Islamabad
S0004,P010,C184,2025-11-24,4,1798.49,Karachi
S0005,P002,C198,2025-08-29,2,1388.21,Islamabad
S0006,P011,C145,2025-09-06,1,1758.49,Lahore
S0007,P006,C018,2025-06-29,4,1278.46,Faisalabad
S0008,P011,C211,2024-12-15,1,1779.83,Peshawar
S0009,P002,C213,2025-03-19,3,1588.34,Peshawar
S0010,P012,C134,2024-06-05,4,755.23,Islamabad
S0011,P010,C212,2025-07-05,4,1829.19,Faisalabad
S0012,P005,C023,2024-11-26,2,3876.89,Islamabad
S0013,P008,C172,2024-09-06,4,938.22,Peshawar
S0014,P006,C047,2024-01-30,4,1335.29,Peshawar
S0015,P004,C226,2024-12-29,3,2462.71,Faisalabad
S0016,P012,C243,2024-10-09,5,722.03,Karachi
S0017,P002,C195,2024-09-04,4,1533.22,Karachi
S0018,P012,C005,2025-05-02,4,809.63,Lahore
S0019,P005,C079,2024-08-14,4,3755.31,Faisalabad
S0020,P006,C109,2025-04-29,5,1239.28,Faisalabad
S0021,P006,C065,2024-12-26,4,1161.27,Karachi
S0022,P002,C191,2026-01-08,2,1468.33,Faisalabad
S0023,P012,C124,2024-07-08,2,763.28,Islamabad
S0024,P012,C026,2025-08-26,5,839.36,Karachi
S0025,P005,C004,2024-08-20,3,3307.01,Faisalabad
S0026,P003,C142,2024-10-07,1,343.07,Islamabad
S0027,P012,C004,2024-05-09,4,740.52,Faisalabad
S0028,P005,C048,2025-04-25,4,3535.41,Lahore
S0029,P005,C103,2025-05-04,1,3869.35,Peshawar
S0030,P002,C208,2025-08-13,1,1406.9,Faisalabad
S0031,P005,C196,2024-03-28,2,3253.65,Peshawar
S0032,P010,C134,2025-09-02,5,1721.56,Peshawar
S0033,P008,C110,2025-03-29,3,1003.54,Islamabad
S0034,P010,C190,2025-09-27,1,1894.33,Lahore
S0035,P004,C021,2025-10-02,2,2415.4,Karachi
S0036,P004,C001,2024-06-26,5,2296.92,Peshawar
S0037,P008,C009,2025-12-06,5,915.73,Karachi
S0038,P005,C117,2025-12-24,3,3765.11,Lahore
S0039,P011,C161,2024-08-27,3,1755.13,Faisalabad
S0040,P011,C058,2024-07-21,4,1485.91,Karachi
S0041,P005,C203,2024-05-25,1,3202.18,Islamabad
S0042,P010,C113,2026-02-05,5,2034.54,Lahore
S0043,P008,C242,2025-12-06,3,967.44,Islamabad
S0044,P009,C154,2025-07-06,4,706.61,Lahore
S0045,P007,C007,2026-01-22,3,2312.04,Lahore
S0046,P004,C006,2025-11-21,5,2616.95,Islamabad
S0047,P010,C167,2024-02-11,2,1831.73,Peshawar
S0048,P005,C209,2024-07-04,5,3531.4,Peshawar
S0049,P002,C083,2025-04-26,3,1503.13,Lahore
S0050,P003,C074,2024-12-03,4,322.03,Peshawar
S0051,P009,C065,2024-02-07,4,645.41,Islamabad
S0052,P002,C212,2026-03-02,4,1674.34,Lahore
S0053,P011,C049,2025-07-09,4,1605.3,Faisalabad
S0054,P006,C195,2025-09-29,4,1267.62,Lahore
